[19:16:15] New map: gm_sro
[19:59:18] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:59:29] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eznukerocket
[20:00:27] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztoolbox
[20:00:34] RusLanConnection killed Redoket
[20:03:32] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eznukerocket
[20:04:20] Redoket<STEAM_0:1:545449619> spawned sent lvs_renaultft_m
[20:04:32] Redoket<STEAM_0:1:545449619> spawned sent lvs_renaultft_m
[20:04:39] Redoket<STEAM_0:1:545449619> spawned sent lvs_wheeldrive_t26
[20:04:43] Redoket<STEAM_0:1:545449619> spawned sent lvs_wheeldrive_pz1bison
[20:05:02] Redoket<STEAM_0:1:545449619> spawned sent lvs_renaultft_m
[20:07:17] Redoket<STEAM_0:1:545449619> spawned sent ent_rus_sorter
[20:07:26] Redoket<STEAM_0:1:545449619> spawned sent ent_aboot_jsmod_ezcargoplane
[20:11:48] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezfuel
[20:11:50] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezbasicparts
[20:11:52] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezdiamond
[20:11:56] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezsteel
[20:12:04] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_eztoolbox
